,White,Black,Win,Lose,Draw,Time,NodesW,NodesB,DepthW,DepthB,MovesW,MovesB,TimeMoveW,TimeMoveB
0,Random,Rules,86,402,12,167.9992001,,,,,,,,
1,Rules,Random,417,72,11,172.6472468,,,,,,,,
2,Rules,RulesAledo,215,271,14,166.091157,,,,,,,,
3,RulesAledo,Rules,280,197,23,170.7491531,,,,,,,,
4,Rules,UnionRules,212,275,13,185.8924534,,,,,,,,
5,UnionRules,Rules,258,233,9,195.7932103,,,,,,,,
6,RulesAledo,UnionRules,241,242,17,104.9978106,,,,,,,,
7,UnionRules,RulesAledo,281,206,13,107.2862389,,,,,,,,
8,AlphaBeta1,UnionRules,83,15,2,123.3595591,11439,,4,,3024,,0.03576355,
9,UnionRules,AlphaBeta1,19,78,3,123.8103871,,11662,,4,,3065,,0.035573945
10,AlphaBeta2,UnionRules,85,15,0,162.9719768,11515,,4,,2986,,0.047570032,
11,UnionRules,AlphaBeta2,13,83,4,150.5544491,,11634,,4,,3003,,0.043518293
12,AlphaBeta3,UnionRules,88,10,2,146.475441,11507,,4,,3003,,0.042467434,
13,UnionRules,AlphaBeta3,10,89,1,150.6519144,,11689,,4,,3043,,0.043206349
14,AlphaBeta4,UnionRules,82,17,1,147.729028,11483,,4,,2994,,0.043257215,
15,UnionRules,AlphaBeta4,18,77,5,140.9604638,,11500,,4,,2986,,0.041272112
16,AlphaBeta4,UnionRules,71,27,2,121.337508,11393,,4,,2981,,0.035542874,
17,UnionRules,AlphaBeta4,29,67,4,128.0454969,,11520,,4,,2985,,0.037268547
18,AlphaBeta,AlphaBeta1,1,0,0,1.95941782,30,115,1,4,30,30,0.015625652,0.046565175
19,AlphaBeta1,AlphaBeta,1,0,0,1.743005037,114,30,4,1,30,30,0.046123489,0.010414457
20,AlphaBeta,AlphaBeta1,1,0,0,2.148801565,59,115,2,4,30,30,0.022949791,0.045033081
21,AlphaBeta1,AlphaBeta,1,0,0,2.116348028,114,59,4,2,30,30,0.044300246,0.021508503
22,AlphaBeta,AlphaBeta1,1,0,0,2.408058643,87,115,3,4,30,30,0.034931954,0.043253732
23,AlphaBeta1,AlphaBeta,1,0,0,2.380316257,114,87,4,3,30,30,0.047424817,0.030354587
24,AlphaBeta,AlphaBeta1,1,0,0,2.723211527,114,115,4,4,30,30,0.041185784,0.04385798
25,AlphaBeta1,AlphaBeta,1,0,0,2.709671021,114,115,4,4,30,30,0.042261958,0.042333325
26,AlphaBeta,AlphaBeta1,1,0,0,3.127194881,141,115,5,4,30,30,0.059822162,0.041814001
27,AlphaBeta1,AlphaBeta,1,0,0,3.098793268,114,142,4,5,30,30,0.046384215,0.053230381
28,AlphaBeta,AlphaBeta1,1,0,0,3.285302877,167,115,6,4,30,30,0.06255734,0.045390646
29,AlphaBeta1,AlphaBeta,1,0,0,3.440549135,114,169,4,6,30,30,0.044619759,0.064855774
30,AlphaBeta,AlphaBeta1,1,0,0,3.724219084,193,115,7,4,30,30,0.079179684,0.043398714
31,AlphaBeta1,AlphaBeta,1,0,0,3.959688187,114,195,4,7,30,30,0.047882533,0.082071956
32,AlphaBeta,AlphaBeta1,1,0,0,4.131492615,218,115,8,4,30,30,0.0886928,0.047427217
33,AlphaBeta1,AlphaBeta,1,0,0,4.109246969,114,221,4,8,30,30,0.042911275,0.090353243
34,AlphaBeta,AlphaBeta1,1,0,0,4.80298996,243,115,9,4,30,30,0.109185139,0.046645959
35,AlphaBeta1,AlphaBeta,1,0,0,4.441653013,114,246,4,9,30,30,0.047260777,0.099222851
36,AlphaBeta,AlphaBeta1,1,0,0,4.776853085,267,115,10,4,30,30,0.111022774,0.045483057
37,AlphaBeta1,AlphaBeta,1,0,0,4.957980871,114,271,4,10,30,30,0.048632296,0.113841637
38,AlphaBeta,AlphaBeta1,1,0,0,5.435557365,291,115,11,4,30,30,0.127409943,0.049596699
39,AlphaBeta1,AlphaBeta,1,0,0,5.290492296,114,295,4,11,30,30,0.046623588,0.126832803
40,AlphaBeta,AlphaBeta1,1,0,0,5.400128365,314,115,12,4,30,30,0.131543334,0.046642629
41,AlphaBeta1,AlphaBeta,1,0,0,5.539804459,114,319,4,12,30,30,0.046993852,0.134730498
42,Minimax,AlphaBeta1,1,0,0,1.94804883,302,115,1,4,30,30,0.019175657,0.040774218
43,AlphaBeta1,Minimax,1,0,0,2.125212669,114,270,4,1,30,30,0.050605679,0.017074656
44,Minimax,AlphaBeta1,1,0,0,10.24654555,4550,116,2,4,31,29,0.271276382,0.058697635
45,AlphaBeta1,Minimax,0,1,0,9.03366518,112,4566,4,2,28,32,0.056537781,0.229082182
46,Minimax,AlphaBeta1,1,0,0,110.6583295,51824,115,3,4,30,30,3.629347595,0.055234702
47,AlphaBeta1,Minimax,0,1,0,100.6857114,116,58390,4,3,30,30,0.048674099,3.303772783
48,Minimax,AlphaBeta1,1,0,0,1497.212743,851493,110,4,4,31,28,48.2430131,0.055381136
49,AlphaBeta1,Minimax,0,1,0,920.9822831,98,624411,4,4,26,34,0.039910216,27.05437836
50,Minimax,AlphaBeta1,1,0,0,13188.76143,6267182,118,5,4,30,30,439.5732474,0.047782469
51,AlphaBeta1,Minimax,0,1,0,9093.708774,109,5419680,4,5,29,31,0.040379384,293.3046962
52,MonteCarlo,UnionRules,28,21,1,698.6435702,24958679,,10,,1489,,0.463218682,
53,UnionRules,MonteCarlo,26,23,1,719.2116771,,75884414,,10,,1496,,0.475004535
54,MonteCarlo,UnionRules,34,16,0,1367.840295,158682950,,20,,1489,,0.912805192,
55,UnionRules,MonteCarlo,25,25,0,1426.526945,,278615835,,20,,1508,,0.940062628
56,MonteCarlo,UnionRules,29,21,0,2710.207045,453790786,,40,,1464,,1.845236229,
57,UnionRules,MonteCarlo,17,33,0,2882.954025,,724235373,,40,,1499,,1.916730604
58,MonteCarlo,UnionRules,35,14,1,4826.825552,1055616475,,60,,1490,,3.232953988,
59,UnionRules,MonteCarlo,14,36,0,4356.097049,,212213178,,60,,1512,,2.875409991
60,MonteCarlo,UnionRules,29,21,0,781.0851917,25013493,,10,,1488,,0.518497845,
61,UnionRules,MonteCarlo,25,25,0,855.9281175,,76894034,,10,,1514,,0.558178473
62,MonteCarlo,UnionRules,34,16,0,1579.087564,157253422,,20,,1480,,1.060259108,
63,UnionRules,MonteCarlo,21,29,0,1725.071997,,278465207,,20,,1512,,1.133903191
64,MonteCarlo,UnionRules,35,15,0,3287.753669,461298202,,40,,1493,,2.195039658,
65,UnionRules,MonteCarlo,22,28,0,3409.350322,,726276658,,40,,1507,,2.255504513
66,MonteCarlo,UnionRules,36,12,2,4641.477551,1044166450,,60,,1484,,3.121344144,
67,UnionRules,MonteCarlo,21,29,0,4925.823109,,1476494392,,60,,1510,,3.255228475
68,MonteCarlo,UnionRules,22,27,1,757.3032813,41867696,,0.47,,1460,,0.511317551,
69,UnionRules,MonteCarlo,23,27,0,773.4127803,,137451424,,0.47,,1506,,0.507386585
70,MonteCarlo,UnionRules,32,18,0,1447.010477,292815269,,0.93,,1496,,0.961033394,
71,UnionRules,MonteCarlo,19,31,0,1463.713617,,499793168,,0.93,,1509,,0.963233286
72,MonteCarlo,UnionRules,34,15,1,2829.85563,784061087,,1.89,,1467,,1.921957689,
73,UnionRules,MonteCarlo,16,34,0,2924.753904,,1242266992,,1.89,,1516,,1.922581402
74,MonteCarlo,UnionRules,36,13,1,4626.911505,1853013684,,3.06,,1494,,3.090653431,
75,UnionRules,MonteCarlo,18,32,0,4575.031554,,405120486,,3.06,,1479,,3.087750076
76,MonteCarlo,AlphaBeta,16,32,2,820.8185947,25396704,5864,10,4,1476,1524,0.51090223,0.041349379
77,AlphaBeta,MonteCarlo,39,9,2,895.0861726,5727,77218092,4,10,1507,1492,0.044155875,0.552729801
78,MonteCarlo,AlphaBeta,13,36,1,1468.037536,58233665,5848,20,4,1470,1525,0.956373169,0.038704117
79,AlphaBeta,MonteCarlo,40,9,1,1515.976066,5731,176504902,4,20,1511,1486,0.03955392,0.977640892
80,MonteCarlo,AlphaBeta,15,34,1,2880.191592,127946665,5846,40,4,1474,1526,1.910770855,0.039342235
81,AlphaBeta,MonteCarlo,32,17,1,3039.99154,5665,385135430,4,40,1479,1479,0.041539449,2.011394512
82,MonteCarlo,AlphaBeta,14,35,1,4402.268451,200271141,5838,60,4,1468,1532,2.954239251,0.040374996
83,AlphaBeta,MonteCarlo,28,22,0,4461.210655,5562,594060077,4,60,1455,1453,0.041704837,3.026265596
84,MonteCarlo,AlphaBeta,4,1,0,3659.020522,23085318,587,500,4,148,152,24.67881695,0.040785027
85,AlphaBeta,MonteCarlo,3,2,0,3727.769395,573,71146748,4,500,149,151,0.038840351,24.64654826
